Título,,,,
H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   18 170,"100,00%","100,00%"
,Total,   18 170,"100,00%","100,00%"
,,,,
,No Aplica :,    100,,
,,,,
,AREA # 0507,"Ayacucho, provincia: Parinacochas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   8 247,"100,00%","100,00%"
,Total,   8 247,"100,00%","100,00%"
,,,,
,No Aplica :,    95,,
,,,,
,AREA # 0508,"Ayacucho, provincia: Páucar del Sara Sara",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   3 333,"100,00%","100,00%"
,Total,   3 333,"100,00%","100,00%"
,,,,
,No Aplica :,    33,,
,,,,
,AREA # 0509,"Ayacucho, provincia: Sucre",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   3 412,"100,00%","100,00%"
,Total,   3 412,"100,00%","100,00%"
,,,,
,No Aplica :,    15,,
,,,,
,AREA # 0510,"Ayacucho, provincia: Víctor Fajardo",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   7 373,"100,00%","100,00%"
,Total,   7 373,"100,00%","100,00%"
,,,,
,No Aplica :,    43,,
,,,,
,AREA # 0511,"Ayacucho, provincia: Vilcas Huamán",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   6 170,"100,00%","100,00%"
,Total,   6 170,"100,00%","100,00%"
,,,,
,No Aplica :,    23,,
,,,,
,AREA # 0601,"Cajamarca, provincia: Cajamarca",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   96 177,"100,00%","100,00%"
,Total,   96 177,"100,00%","100,00%"
,,,,
,No Aplica :,    306,,
,,,,
,AREA # 0602,"Cajamarca, provincia: Cajabamba",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   21 032,"100,00%","100,00%"
,Total,   21 032,"100,00%","100,00%"
,,,,
,No Aplica :,    76,,
,,,,
