Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   10 647,"76,06%","76,06%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 619,"11,57%","87,62%"
,Pilón o pileta de uso público,    184,"1,31%","88,93%"
,Camión - cisterna u otro similar,    49,"0,35%","89,28%"
,Pozo (agua subterránea),    876,"6,26%","95,54%"
,Manantial o puquio,    92,"0,66%","96,20%"
,"Río, acequia, lago, laguna",    488,"3,49%","99,69%"
,Otro,    24,"0,17%","99,86%"
,Vecino,    20,"0,14%","100,00%"
,Total,   13 999,"100,00%","100,00%"
,,,,
,No Aplica :,   7 774,,
,,,,
,AREA # 0102,"Amazonas, provincia: Bagua",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   9 429,"48,30%","48,30%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   4 392,"22,50%","70,80%"
,Pilón o pileta de uso público,    793,"4,06%","74,87%"
,Camión - cisterna u otro similar,    59,"0,30%","75,17%"
,Pozo (agua subterránea),   1 792,"9,18%","84,35%"
,Manantial o puquio,    270,"1,38%","85,73%"
,"Río, acequia, lago, laguna",   2 648,"13,57%","99,30%"
,Otro,    56,"0,29%","99,59%"
,Vecino,    81,"0,41%","100,00%"
,Total,   19 520,"100,00%","100,00%"
,,,,
,No Aplica :,   5 371,,
,,,,
,AREA # 0103,"Amazonas, provincia: Bongara",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   4 569,"62,52%","62,52%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 497,"20,48%","83,00%"
,Pilón o pileta de uso público,    215,"2,94%","85,95%"
,Pozo (agua subterránea),    474,"6,49%","92,43%"
,Manantial o puquio,    67,"0,92%","93,35%"
,"Río, acequia, lago, laguna",    388,"5,31%","98,66%"
,Otro,    61,"0,83%","99,49%"
,Vecino,    37,"0,51%","100,00%"
,Total,   7 308,"100,00%","100,00%"
,,,,
,No Aplica :,   3 648,,
,,,,
,AREA # 0104,"Amazonas, provincia: Condorcanqui",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 307,"13,45%","13,45%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    867,"8,92%","22,38%"
,Pilón o pileta de uso público,   1 003,"10,32%","32,70%"
,Camión - cisterna u otro similar,    2,"0,02%","32,72%"
,Pozo (agua subterránea),   2 564,"26,39%","59,11%"
,Manantial o puquio,    431,"4,44%","63,54%"
,"Río, acequia, lago, laguna",   3 428,"35,28%","98,83%"
,Otro,    80,"0,82%","99,65%"
,Vecino,    34,"0,35%","100,00%"
,Total,   9 716,"100,00%","100,00%"
,,,,
,No Aplica :,   2 616,,
,,,,
,AREA # 0105,"Amazonas, provincia: Luya",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   7 172,"56,22%","56,22%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 097,"24,28%","80,50%"
,Pilón o pileta de uso público,   1 112,"8,72%","89,21%"
,Pozo (agua subterránea),    819,"6,42%","95,63%"
,Manantial o puquio,    132,"1,03%","96,67%"
,"Río, acequia, lago, laguna",    369,"2,89%","99,56%"
,Otro,    9,"0,07%","99,63%"
,Vecino,    47,"0,37%","100,00%"
,Total,   12 757,"100,00%","100,00%"
,,,,
,No Aplica :,   5 328,,
,,,,
,AREA # 0106,"Amazonas, provincia: Rodríguez de Mendoza",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   5 256,"59,03%","59,03%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 278,"14,35%","73,38%"
,Pilón o pileta de uso público,    154,"1,73%","75,11%"
,Pozo (agua subterránea),   1 020,"11,46%","86,57%"
,Manantial o puquio,    211,"2,37%","88,94%"
,"Río, acequia, lago, laguna",    948,"10,65%","99,58%"
,Otro,    29,"0,33%","99,91%"
,Vecino,    8,"0,09%","100,00%"
,Total,   8 904,"100,00%","100,00%"
,,,,
,No Aplica :,   3 123,,
,,,,
,AREA # 0107,"Amazonas, provincia: Utcubamba",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   14 712,"48,71%","48,71%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   8 760,"29,00%","77,71%"
,Pilón o pileta de uso público,   1 308,"4,33%","82,04%"
,Camión - cisterna u otro similar,    117,"0,39%","82,43%"
,Pozo (agua subterránea),   2 502,"8,28%","90,72%"
,Manantial o puquio,    471,"1,56%","92,28%"
,"Río, acequia, lago, laguna",   2 052,"6,79%","99,07%"
,Otro,    104,"0,34%","99,41%"
,Vecino,    177,"0,59%","100,00%"
,Total,   30 203,"100,00%","100,00%"
,,,,
,No Aplica :,   9 061,,
,,,,
,AREA # 0201,"Áncash, provincia: Huaraz",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   33 928,"81,15%","81,15%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   4 664,"11,16%","92,31%"
,Pilón o pileta de uso público,    657,"1,57%","93,88%"
,Camión - cisterna u otro similar,    40,"0,10%","93,97%"
,Pozo (agua subterránea),   1 266,"3,03%","97,00%"
,Manantial o puquio,    286,"0,68%","97,68%"
,"Río, acequia, lago, laguna",    775,"1,85%","99,54%"
,Otro,    72,"0,17%","99,71%"
,Vecino,    121,"0,29%","100,00%"
,Total,   41 809,"100,00%","100,00%"
,,,,
,No Aplica :,   15 828,,
,,,,
,AREA # 0202,"Áncash, provincia: Aija",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 451,"74,76%","74,76%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    42,"2,16%","76,92%"
,Pilón o pileta de uso público,    10,"0,52%","77,43%"
,Pozo (agua subterránea),    230,"11,85%","89,28%"
,Manantial o puquio,    121,"6,23%","95,52%"
,"Río, acequia, lago, laguna",    76,"3,92%","99,43%"
,Otro,    2,"0,10%","99,54%"
,Vecino,    9,"0,46%","100,00%"
,Total,   1 941,"100,00%","100,00%"
,,,,
,No Aplica :,   1 380,,
,,,,
,AREA # 0203,"Áncash, provincia: Antonio Raymondi",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   3 229,"85,29%","85,29%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    222,"5,86%","91,15%"
,Pilón o pileta de uso público,    40,"1,06%","92,21%"
,Pozo (agua subterránea),    190,"5,02%","97,23%"
,Manantial o puquio,    61,"1,61%","98,84%"
,"Río, acequia, lago, laguna",    39,"1,03%","99,87%"
,Otro,    1,"0,03%","99,89%"
,Vecino,    4,"0,11%","100,00%"
,Total,   3 786,"100,00%","100,00%"
,,,,
,No Aplica :,   2 735,,
,,,,
,AREA # 0204,"Áncash, provincia: Asunción",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 642,"71,33%","71,33%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    444,"19,29%","90,62%"
,Pilón o pileta de uso público,    4,"0,17%","90,79%"
,Pozo (agua subterránea),    124,"5,39%","96,18%"
,Manantial o puquio,    27,"1,17%","97,35%"
,"Río, acequia, lago, laguna",    49,"2,13%","99,48%"
,Otro,    6,"0,26%","99,74%"
,Vecino,    6,"0,26%","100,00%"
,Total,   2 302,"100,00%","100,00%"
,,,,
,No Aplica :,   1 492,,
,,,,
,AREA # 0205,"Áncash, provincia: Bolognesi",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   4 930,"72,31%","72,31%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    479,"7,03%","79,33%"
,Pilón o pileta de uso público,    113,"1,66%","80,99%"
,Pozo (agua subterránea),    579,"8,49%","89,48%"
,Manantial o puquio,    242,"3,55%","93,03%"
,"Río, acequia, lago, laguna",    456,"6,69%","99,72%"
,Otro,    11,"0,16%","99,88%"
,Vecino,    8,"0,12%","100,00%"
,Total,   6 818,"100,00%","100,00%"
,,,,
,No Aplica :,   4 775,,
,,,,
,AREA # 0206,"Áncash, provincia: Carhuaz",,
,,,,
