Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Total,   193 699,"100,00%","100,00%"
,,,,
,No Aplica :,   43 044,,
,,,,
,AREA # 1402,"Lambayeque, provincia: Ferreñafe",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   15 183,"62,46%","62,46%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 867,"7,68%","70,14%"
,Pilón o pileta de uso público,   1 154,"4,75%","74,89%"
,Camión - cisterna u otro similar,    139,"0,57%","75,46%"
,Pozo (agua subterránea),   2 651,"10,91%","86,37%"
,Manantial o puquio,    238,"0,98%","87,35%"
,"Río, acequia, lago, laguna",   2 723,"11,20%","98,55%"
,Otro,    182,"0,75%","99,30%"
,Vecino,    170,"0,70%","100,00%"
,Total,   24 307,"100,00%","100,00%"
,,,,
,No Aplica :,   6 306,,
,,,,
,AREA # 1403,"Lambayeque, provincia: Lambayeque",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   42 646,"59,26%","59,26%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   6 287,"8,74%","68,00%"
,Pilón o pileta de uso público,   6 491,"9,02%","77,02%"
,Camión - cisterna u otro similar,   2 901,"4,03%","81,05%"
,Pozo (agua subterránea),   11 643,"16,18%","97,23%"
,Manantial o puquio,    178,"0,25%","97,48%"
,"Río, acequia, lago, laguna",    693,"0,96%","98,44%"
,Otro,    365,"0,51%","98,95%"
,Vecino,    759,"1,05%","100,00%"
,Total,   71 963,"100,00%","100,00%"
,,,,
,No Aplica :,   15 298,,
,,,,
,AREA # 1501,"Lima, provincia: Lima",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,  1 690 717,"77,73%","77,73%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   232 583,"10,69%","88,42%"
,Pilón o pileta de uso público,   69 695,"3,20%","91,62%"
,Camión - cisterna u otro similar,   146 223,"6,72%","98,35%"
,Pozo (agua subterránea),   23 016,"1,06%","99,40%"
,Manantial o puquio,    119,"0,01%","99,41%"
,"Río, acequia, lago, laguna",    497,"0,02%","99,43%"
,Otro,   2 025,"0,09%","99,53%"
